sample_id,herb_name,timestamp,quality_level,temperature_c,humidity_percent,ph_value,tds_ppm,uv_intensity,moisture_percent,color_r,color_g,color_b,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage
RAW-01494,Pudina Leaves,2025-08-31T17:15:09,high,29.78,56.1,8.34,1058.5,2.06,14.2,254,198,170,1.645,1.306,1.98,2.333,2.076
RAW-01495,Tejpatta Leaves,2025-09-05T16:42:27,high,23.17,55.9,4.66,485.8,3.91,16.6,179,161,203,1.842,1.61,2.132,2.469,2.269
RAW-01496,Ginger Root,2025-06-23T16:39:45,high,18.94,66.0,7.46,400.9,0.61,12.6,143,175,237,1.415,1.075,1.697,1.966,1.92
RAW-01497,Hing Powder,2025-08-27T10:19:52,high,31.18,49.9,7.2,1346.5,0.9,13.2,204,64,176,2.327,2.085,2.592,2.926,2.706
RAW-01498,Curry Leaves,2025-08-08T14:43:48,medium,26.17,65.3,5.55,1000.0,2.28,24.6,195,192,69,1.443,1.175,1.686,1.958,1.782
RAW-01499,Dalchini Bark,2025-08-05T16:12:26,high,23.17,82.4,4.66,802.7,1.8,19.7,219,63,89,1.358,1.014,1.688,1.958,1.754
RAW-01500,Arjuna Bark,2025-09-01T08:14:46,low,26.38,49.2,7.92,109.5,1.26,19.2,128,88,171,1.761,1.573,1.909,2.347,2.108
RAW-01501,Triphala Powder,2025-07-21T16:17:14,high,27.97,73.9,5.21,1018.9,1.47,13.9,166,103,221,2.079,1.803,2.468,2.799,2.532
RAW-01502,Ginger Root,2025-09-14T09:37:42,medium,20.01,67.1,7.0,1297.3,2.47,19.7,226,181,101,1.285,0.973,1.599,1.823,1.792
RAW-01503,Elaichi Seeds,2025-08-07T16:12:00,low,27.9,58.1,5.22,946.8,3.32,17.3,147,168,127,0.951,0.771,1.067,1.35,1.112
RAW-01504,Pudina Leaves,2025-07-11T10:39:14,high,19.65,66.7,4.98,551.8,1.01,20.6,70,85,50,1.548,1.3,1.923,2.217,2.015
RAW-01505,Ajwain Seeds,2025-08-26T08:05:39,low,25.09,57.2,6.34,972.9,4.41,18.3,247,238,128,1.222,0.991,1.569,1.657,1.568
RAW-01506,Hing Powder,2025-06-20T12:14:28,low,27.3,56.1,7.85,350.9,3.97,22.7,144,242,141,1.899,1.696,2.177,2.367,2.203
RAW-01507,Neem Leaves,2025-09-14T12:38:03,high,21.41,55.2,8.31,1108.2,0.76,11.4,245,102,185,2.198,1.882,2.649,3.037,2.739
RAW-01508,Curry Leaves,2025-09-25T17:12:45,medium,18.94,67.0,6.21,449.6,3.98,11.9,94,243,226,1.583,1.291,1.792,2.118,1.879
RAW-01509,Triphala Powder,2025-08-05T15:26:36,high,25.71,72.8,6.12,1110.6,0.9,11.8,145,218,206,1.873,1.721,2.187,2.626,2.281
RAW-01510,Methi Seeds,2025-08-26T10:11:43,high,20.04,82.4,6.69,56.7,3.99,20.4,88,235,192,1.933,1.692,2.216,2.493,2.321
RAW-01511,Triphala Powder,2025-06-05T17:14:02,medium,18.64,76.0,5.03,1196.4,4.45,22.9,195,62,174,1.609,1.41,1.849,2.145,2.027
RAW-01512,Triphala Powder,2025-07-15T15:38:30,high,31.04,72.6,5.88,59.9,4.03,24.5,129,77,223,2.053,1.689,2.411,2.761,2.529
RAW-01513,Turmeric Powder,2025-09-07T13:37:53,high,27.93,59.8,6.67,926.7,4.2,11.2,230,161,188,1.586,1.209,1.921,2.148,1.869
RAW-01514,Turmeric Powder,2025-06-26T09:43:45,high,21.99,71.3,6.93,973.1,4.41,14.4,195,95,224,1.572,1.259,1.792,2.195,2.019
RAW-01515,Dalchini Bark,2025-06-05T08:12:48,low,20.69,50.8,5.3,437.4,4.36,21.6,191,93,216,0.842,0.565,1.046,1.281,1.244
RAW-01516,Curry Leaves,2025-09-25T08:26:55,high,31.54,60.6,6.73,1063.7,3.0,15.8,57,158,182,1.598,1.473,1.927,2.242,2.033
RAW-01517,Tejpatta Leaves,2025-09-07T15:35:24,high,29.65,71.9,6.92,697.9,2.0,21.8,105,104,189,1.868,1.486,2.21,2.382,2.102
RAW-01518,Elaichi Seeds,2025-09-12T12:51:18,medium,25.14,69.1,6.77,1422.7,4.49,13.5,199,206,156,1.034,0.859,1.424,1.704,1.52
RAW-01519,Curry Leaves,2025-06-03T13:19:24,high,23.32,50.2,5.49,658.2,4.63,13.0,155,205,84,1.654,1.333,1.934,2.378,2.174
RAW-01520,Giloy Stems,2025-06-12T14:53:45,high,24.6,54.3,5.46,626.1,0.65,12.7,51,116,159,1.596,1.32,1.987,2.383,2.16
RAW-01521,Mulethi Root,2025-07-18T08:12:46,low,21.94,82.0,7.69,1332.0,2.26,22.3,79,144,78,0.562,0.317,0.729,0.839,0.756
RAW-01522,Shatavari Root,2025-08-05T14:43:29,high,27.02,67.5,5.29,403.0,1.79,20.7,88,185,111,1.058,0.776,1.404,1.684,1.451
RAW-01523,Ginger Root,2025-06-14T11:17:56,high,23.3,70.0,6.75,978.9,3.6,20.9,68,158,191,1.355,1.08,1.631,2.034,1.796
RAW-01524,Turmeric Powder,2025-09-07T11:02:24,high,24.83,83.3,4.98,203.4,1.08,24.7,245,77,239,1.543,1.255,1.964,2.094,1.944
RAW-01525,Jeera Seeds,2025-09-25T08:44:11,high,27.8,56.6,6.41,876.3,2.85,21.6,203,127,61,1.541,1.193,1.843,2.072,1.893
RAW-01526,Jeera Seeds,2025-09-03T11:29:03,medium,22.08,53.8,7.57,809.5,0.78,14.3,116,55,119,1.307,1.122,1.575,1.82,1.611
RAW-01527,Arjuna Bark,2025-08-24T13:37:57,low,30.42,67.7,6.8,948.1,1.44,21.4,97,169,173,1.584,1.259,1.735,2.017,1.854
RAW-01528,Elaichi Seeds,2025-08-14T16:37:08,high,19.99,61.3,7.03,1177.8,4.63,19.5,79,251,241,1.306,1.06,1.588,1.809,1.603
RAW-01529,Mulethi Root,2025-08-24T09:31:18,high,20.48,84.3,6.47,208.4,3.38,21.1,178,185,160,0.755,0.439,0.899,1.319,0.948
RAW-01530,Kalonji Seeds,2025-08-22T14:38:40,medium,21.79,60.4,5.5,245.9,2.24,23.5,54,166,94,1.541,1.431,1.83,2.22,1.909
RAW-01531,Dalchini Bark,2025-07-13T11:43:50,high,18.78,74.9,5.23,1404.5,2.05,19.3,166,106,227,1.518,1.119,1.719,2.036,1.841
RAW-01532,Amla Fruit,2025-07-05T15:21:06,medium,26.24,55.4,4.86,348.1,4.58,10.2,149,167,222,1.633,1.267,2.051,2.318,1.987
RAW-01533,Hing Powder,2025-08-14T12:56:57,low,19.77,74.4,8.17,663.2,1.5,20.2,178,58,52,1.708,1.521,1.93,2.231,2.033
RAW-01534,Triphala Powder,2025-07-12T10:05:06,high,18.72,50.1,4.88,117.2,2.46,15.0,103,125,240,1.999,1.883,2.407,2.79,2.585
RAW-01535,Triphala Powder,2025-08-20T16:09:34,medium,30.34,71.1,7.27,1162.5,2.16,21.9,196,196,70,1.779,1.465,2.08,2.36,2.202
RAW-01536,Shatavari Root,2025-08-31T10:45:52,medium,19.53,76.3,6.26,53.2,2.13,17.7,158,252,136,0.957,0.728,1.219,1.5,1.373
RAW-01537,Giloy Stems,2025-09-09T08:32:17,low,24.63,55.6,5.66,1472.7,4.46,12.9,63,57,135,1.187,1.079,1.543,1.812,1.722
RAW-01538,Hing Powder,2025-06-01T08:15:43,medium,24.37,56.7,8.24,1365.6,0.86,22.3,218,179,226,2.26,1.975,2.599,2.893,2.669
RAW-01539,Pudina Leaves,2025-08-17T13:41:47,high,24.91,59.8,8.12,281.8,3.97,10.7,82,154,175,1.542,1.359,2.025,2.2,1.958
RAW-01540,Kalonji Seeds,2025-08-14T10:52:48,medium,19.82,58.6,7.72,1435.9,4.92,19.6,131,108,115,1.912,1.578,2.137,2.494,2.292
RAW-01541,Dhania Seeds,2025-07-05T17:49:13,high,30.16,70.0,4.57,353.2,3.97,16.8,52,80,229,1.325,0.871,1.481,1.856,1.69
RAW-01542,Amla Fruit,2025-08-04T12:04:01,high,21.8,80.3,7.92,142.6,1.52,23.3,234,243,68,1.826,1.538,2.207,2.497,2.248
RAW-01543,Curry Leaves,2025-06-02T08:08:58,high,21.51,53.0,5.35,384.6,1.57,11.9,201,234,67,1.64,1.333,1.974,2.098,1.997
RAW-01544,Kalonji Seeds,2025-07-16T16:08:50,low,29.34,56.9,7.95,1254.7,1.97,16.2,187,220,246,1.344,1.159,1.71,1.806,1.71
RAW-01545,Ajwain Seeds,2025-08-24T08:32:24,low,21.34,48.1,6.52,829.1,1.75,24.6,182,75,207,1.305,1.094,1.717,1.813,1.613
RAW-01546,Neem Leaves,2025-07-05T12:03:51,high,25.32,69.7,6.15,266.9,4.99,18.0,153,89,136,2.113,1.868,2.542,2.984,2.721
RAW-01547,Ajwain Seeds,2025-06-10T17:25:39,high,21.21,58.5,5.83,772.9,2.58,17.1,168,90,156,1.809,1.504,2.127,2.461,2.218
RAW-01548,Ginger Root,2025-07-26T08:33:54,medium,19.68,66.1,4.79,474.1,4.64,23.1,166,240,251,1.227,0.958,1.377,1.674,1.722
RAW-01549,Methi Seeds,2025-08-26T17:01:36,high,25.51,77.2,5.78,528.1,0.84,19.8,191,91,238,1.807,1.591,1.995,2.233,2.025
RAW-01550,Honey,2025-09-08T16:21:37,high,30.46,70.3,6.26,530.5,0.72,23.8,195,149,60,0.448,0.214,0.326,0.466,0.536
RAW-01551,Methi Seeds,2025-07-18T17:36:57,medium,25.38,52.0,8.06,1259.6,1.81,22.5,151,134,242,1.571,1.319,1.668,1.934,1.667
RAW-01552,Ajwain Seeds,2025-08-21T10:57:52,low,20.27,72.8,7.42,1211.9,4.11,16.6,84,217,125,1.289,0.993,1.476,1.751,1.57
RAW-01553,Shatavari Root,2025-06-05T09:41:29,high,25.89,71.2,5.03,241.0,0.27,21.4,241,78,236,1.118,0.744,1.415,1.733,1.402
RAW-01554,Mulethi Root,2025-09-01T09:46:59,medium,28.25,83.9,6.23,716.6,4.15,11.7,162,193,111,0.556,0.282,0.804,0.998,0.888
RAW-01555,Pudina Leaves,2025-08-22T13:06:26,high,18.14,69.6,7.91,1080.3,1.2,22.3,232,182,198,1.572,1.276,1.825,2.054,1.88
RAW-01556,Jeera Seeds,2025-07-09T11:06:14,high,25.82,45.6,7.12,1193.0,3.12,23.0,109,190,85,1.496,1.155,1.705,2.081,1.853
RAW-01557,Triphala Powder,2025-07-18T13:04:00,medium,21.03,82.1,7.53,1404.7,4.17,16.0,198,173,50,1.774,1.485,1.948,2.364,2.245
RAW-01558,Shankhpushpi,2025-07-19T08:20:54,high,26.49,80.1,7.04,1412.6,4.66,20.8,172,203,73,1.262,0.958,1.677,1.902,1.604
RAW-01559,Kalonji Seeds,2025-09-05T17:09:41,medium,30.1,58.3,5.43,755.0,0.82,14.5,153,60,110,1.853,1.554,2.214,2.43,2.281
RAW-01560,Jeera Seeds,2025-06-17T13:44:54,low,27.97,66.2,6.51,311.1,2.2,23.1,221,107,202,1.065,0.876,1.313,1.54,1.285
RAW-01561,Turmeric Powder,2025-06-22T14:27:43,medium,25.47,61.9,6.26,1420.6,4.32,23.0,111,130,119,1.518,1.196,1.837,2.052,1.899
RAW-01562,Brahmi Leaves,2025-08-30T11:06:57,medium,21.15,79.0,4.76,640.6,3.76,10.1,92,89,72,1.406,1.188,1.68,2.04,1.833
RAW-01563,Tulsi Leaves,2025-06-08T14:20:34,high,23.8,58.4,5.19,1404.7,1.21,14.2,78,142,159,1.324,0.8,1.334,1.997,1.778
RAW-01564,Hing Powder,2025-09-16T08:11:14,high,24.68,55.4,6.01,1271.1,4.31,19.4,166,173,104,2.35,1.94,2.703,3.002,2.772
RAW-01565,Triphala Powder,2025-06-26T11:44:43,low,19.86,49.1,6.34,595.1,4.16,22.6,113,143,219,1.279,1.139,1.51,1.73,1.64
RAW-01566,Tulsi Leaves,2025-09-21T11:37:06,low,19.16,74.9,5.07,88.0,2.64,18.7,123,182,152,0.903,0.609,1.187,1.674,1.332
RAW-01567,Neem Leaves,2025-09-03T09:20:14,high,21.76,82.7,6.66,1269.4,2.68,21.6,52,103,168,2.331,1.998,2.666,3.138,2.865
RAW-01568,Shatavari Root,2025-07-04T08:36:48,high,18.18,47.2,7.59,535.5,3.99,17.2,190,166,82,0.994,0.81,1.363,1.693,1.526
RAW-01569,Brahmi Leaves,2025-09-15T13:55:29,high,23.7,52.5,7.3,1302.5,4.4,20.1,106,209,95,1.451,1.277,1.706,2.109,1.881
RAW-01570,Methi Seeds,2025-09-27T14:15:10,high,22.86,45.9,8.13,465.4,0.77,12.0,205,227,150,1.809,1.541,2.093,2.37,2.216
RAW-01571,Tejpatta Leaves,2025-06-09T09:45:42,medium,29.44,65.6,7.92,1188.4,0.87,13.7,156,179,249,1.668,1.318,1.906,2.169,1.955
RAW-01572,Ajwain Seeds,2025-07-18T12:42:21,high,18.21,72.8,5.7,1001.5,3.56,14.2,114,120,85,1.769,1.513,2.096,2.366,2.205
RAW-01573,Shankhpushpi,2025-07-12T10:33:04,high,19.59,47.6,8.41,981.4,2.32,21.4,180,76,140,1.136,0.928,1.473,1.709,1.638
RAW-01574,Shatavari Root,2025-06-24T14:08:01,medium,30.13,52.4,5.56,248.8,1.97,24.8,50,122,235,0.937,0.713,1.209,1.511,1.332
RAW-01575,Shankhpushpi,2025-06-17T16:54:29,medium,19.4,45.1,6.8,487.2,0.19,22.9,171,72,160,1.154,0.94,1.469,1.752,1.503
RAW-01576,Shankhpushpi,2025-06-04T17:18:48,medium,19.49,68.3,8.31,930.4,3.81,24.6,249,84,98,1.05,0.818,1.266,1.52,1.344
RAW-01577,Kalonji Seeds,2025-09-04T17:30:43,high,21.99,51.9,6.33,718.2,3.85,17.5,251,244,216,2.101,1.775,2.366,2.804,2.382
RAW-01578,Kalonji Seeds,2025-08-05T11:07:04,high,21.99,63.7,6.62,1232.0,4.32,20.2,101,101,64,1.913,1.652,2.251,2.525,2.39
RAW-01579,Dhania Seeds,2025-09-03T09:54:49,high,28.3,45.0,7.88,374.2,4.83,23.6,53,129,244,1.193,0.855,1.502,1.766,1.561
RAW-01580,Curry Leaves,2025-06-02T10:23:15,medium,29.54,49.4,7.49,562.0,3.78,22.0,144,213,244,1.528,1.286,1.922,2.101,1.945
RAW-01581,Tejpatta Leaves,2025-07-31T15:10:44,high,25.95,61.2,6.83,771.9,0.11,15.3,219,226,106,1.855,1.482,2.159,2.483,2.286
RAW-01582,Mulethi Root,2025-06-10T15:00:55,medium,31.4,74.2,6.17,1134.0,4.07,14.9,160,216,243,0.632,0.398,0.801,1.113,1.042
RAW-01583,Elaichi Seeds,2025-08-13T15:12:18,low,29.15,66.3,7.33,1325.4,4.36,12.7,241,153,117,0.982,0.709,1.16,1.409,1.22
RAW-01584,Tejpatta Leaves,2025-08-09T09:40:59,high,25.76,63.5,8.16,1094.4,0.72,15.3,81,249,231,1.847,1.491,2.109,2.38,2.174
RAW-01585,Ashwagandha Root,2025-06-27T13:27:17,high,22.71,63.6,7.93,329.5,3.08,10.6,110,144,107,2.122,1.773,2.341,2.738,2.476
RAW-01586,Kalonji Seeds,2025-09-27T08:57:40,low,30.99,49.8,6.67,506.1,4.41,20.5,202,73,217,1.326,1.271,1.701,1.947,1.667
RAW-01587,Turmeric Powder,2025-08-25T11:32:04,high,30.48,70.1,5.82,1228.5,0.63,22.9,246,240,160,1.691,1.4,2.049,2.306,2.117
RAW-01588,Dhania Seeds,2025-07-04T12:40:21,medium,30.94,73.1,8.22,735.3,2.32,18.0,160,114,114,1.051,0.746,1.27,1.609,1.378
RAW-01589,Hing Powder,2025-09-03T12:34:10,medium,20.53,46.5,7.28,928.8,3.1,17.2,130,252,168,2.263,1.839,2.497,2.706,2.514
RAW-01590,Ashwagandha Root,2025-07-10T15:49:44,medium,28.68,79.7,4.74,511.3,1.66,19.9,204,209,227,1.845,1.506,1.985,2.432,2.285
RAW-01591,Ginger Root,2025-07-10T15:43:32,high,25.75,48.4,5.96,175.3,1.63,13.9,83,93,166,1.338,1.068,1.694,1.987,1.955
RAW-01592,Tulsi Leaves,2025-09-25T10:49:51,high,23.45,51.6,6.09,857.6,0.3,19.8,116,197,111,1.094,0.75,1.461,2.008,1.718
RAW-01593,Honey,2025-07-23T08:55:13,high,21.72,82.7,8.45,812.7,2.85,18.3,122,222,135,0.412,0.213,0.264,0.521,0.48
RAW-01594,Mulethi Root,2025-06-11T15:24:34,high,23.97,64.2,7.46,560.5,2.09,23.6,65,100,177,0.628,0.519,0.902,1.246,1.075
RAW-01595,Pudina Leaves,2025-08-07T16:28:51,high,23.28,78.6,5.59,1297.8,0.14,24.0,123,165,201,1.739,1.355,2.008,2.245,2.086
RAW-01596,Methi Seeds,2025-09-11T09:51:35,high,31.23,82.7,5.77,947.8,0.64,11.3,229,206,214,1.914,1.606,2.146,2.463,2.116
RAW-01597,Neem Leaves,2025-09-27T16:05:35,high,26.06,60.3,5.79,1285.3,0.21,19.4,241,152,130,2.296,1.989,2.683,3.198,2.939
RAW-01598,Tulsi Leaves,2025-06-03T15:10:27,high,19.94,57.0,8.3,852.0,4.65,20.3,57,163,112,1.239,0.757,1.452,2.136,1.76
RAW-01599,Shatavari Root,2025-06-28T17:37:17,high,22.12,64.5,4.78,716.9,2.35,10.4,176,167,157,1.135,0.752,1.474,1.693,1.504
RAW-01600,Kalonji Seeds,2025-09-20T13:09:51,high,22.63,60.2,6.47,93.8,3.01,15.4,114,140,171,2.048,1.673,2.269,2.472,2.356
RAW-01601,Kalonji Seeds,2025-09-21T13:53:42,medium,18.65,62.6,5.89,855.2,3.59,10.6,227,108,226,1.735,1.482,1.95,2.224,1.998
RAW-01602,Dhania Seeds,2025-08-07T12:25:06,high,24.16,50.1,5.18,212.5,3.43,18.3,217,122,192,1.262,0.812,1.452,1.774,1.561
RAW-01603,Shatavari Root,2025-06-12T13:17:01,medium,19.62,84.5,6.46,705.5,4.98,23.0,53,198,110,0.875,0.683,1.178,1.4,1.267
RAW-01604,Triphala Powder,2025-07-14T12:13:45,medium,27.7,84.8,7.08,450.9,0.54,15.4,200,54,206,1.628,1.5,1.985,2.231,2.145
RAW-01605,Brahmi Leaves,2025-09-07T10:16:29,high,18.5,83.3,5.39,226.3,4.71,22.5,99,168,110,1.459,1.237,1.847,2.123,1.993
RAW-01606,Arjuna Bark,2025-07-25T16:14:04,high,30.36,45.5,7.6,1142.5,2.86,13.1,124,60,153,2.343,2.029,2.565,2.941,2.736
RAW-01607,Neem Leaves,2025-07-06T14:02:44,high,22.81,64.9,6.64,1380.4,4.91,22.2,176,145,205,2.226,1.989,2.584,3.048,2.751
RAW-01608,Jeera Seeds,2025-07-15T17:30:59,high,20.19,52.0,4.75,1344.8,0.72,19.4,226,218,195,1.495,1.209,1.798,2.11,1.89
RAW-01609,Brahmi Leaves,2025-06-14T15:08:09,medium,25.61,45.9,7.85,792.5,1.63,16.0,170,211,78,1.223,0.945,1.444,1.73,1.588
RAW-01610,Kalonji Seeds,2025-07-10T10:17:58,high,24.45,50.1,5.35,832.8,1.76,22.8,101,187,202,1.936,1.741,2.371,2.524,2.345
RAW-01611,Hing Powder,2025-09-14T08:19:46,high,23.99,60.3,8.42,711.6,4.32,23.3,252,230,110,2.319,1.97,2.569,2.869,2.732
RAW-01612,Kalonji Seeds,2025-08-22T13:19:18,high,27.72,52.8,4.98,805.1,3.36,12.5,187,59,59,1.918,1.602,2.217,2.519,2.35
RAW-01613,Honey,2025-07-06T16:14:08,high,31.97,76.0,8.01,584.4,1.27,21.5,202,233,50,0.373,0.205,0.374,0.557,0.598
RAW-01614,Methi Seeds,2025-08-24T10:41:31,medium,20.52,48.7,6.57,267.7,2.88,20.9,193,82,166,1.49,1.358,1.741,1.958,1.815
RAW-01615,Turmeric Powder,2025-08-17T09:43:15,medium,24.73,45.3,8.36,96.8,3.02,15.3,243,59,226,1.444,1.265,1.699,1.955,1.781
RAW-01616,Tulsi Leaves,2025-06-23T13:50:41,high,28.04,49.1,4.7,602.8,3.75,23.0,56,208,240,1.158,0.779,1.562,2.072,1.675
RAW-01617,Jeera Seeds,2025-08-03T13:15:27,high,27.17,46.3,6.27,1448.3,4.44,13.3,188,199,206,1.514,1.218,1.77,2.159,1.86
RAW-01618,Curry Leaves,2025-06-27T11:13:06,low,26.65,48.5,7.88,204.8,2.76,20.1,151,179,178,1.156,0.892,1.265,1.473,1.324
RAW-01619,Tejpatta Leaves,2025-07-11T16:45:29,high,24.69,47.3,7.48,777.7,1.91,24.5,199,122,96,1.792,1.517,2.209,2.553,2.32
RAW-01620,Jeera Seeds,2025-07-23T13:02:30,high,30.63,82.1,7.7,1406.0,4.12,10.5,200,210,162,1.553,1.286,1.871,2.182,1.822
RAW-01621,Ajwain Seeds,2025-08-03T15:53:53,high,29.23,79.7,4.69,1378.5,2.38,24.5,171,100,162,1.821,1.45,2.076,2.398,2.272
RAW-01622,Ashwagandha Root,2025-08-07T16:55:26,low,21.66,60.0,6.29,789.5,0.27,10.8,152,141,71,1.527,1.272,1.806,2.081,1.988
RAW-01623,Amla Fruit,2025-06-05T09:10:54,high,20.25,60.9,5.96,454.3,1.23,21.2,172,70,86,1.817,1.665,2.378,2.633,2.299
RAW-01624,Tejpatta Leaves,2025-09-27T12:20:27,high,27.2,63.3,5.59,1055.6,3.37,22.8,52,122,160,1.791,1.496,2.088,2.381,2.163
RAW-01625,Arjuna Bark,2025-06-28T17:15:56,high,24.58,71.9,5.55,1351.2,2.48,16.1,89,248,242,2.118,1.87,2.432,2.873,2.556
RAW-01626,Tejpatta Leaves,2025-08-13T10:04:55,high,25.29,61.9,8.47,1448.4,0.72,23.6,110,227,59,1.709,1.495,2.17,2.342,2.215
RAW-01627,Ginger Root,2025-07-20T17:41:41,high,29.38,81.3,4.83,274.6,1.22,17.6,54,201,206,1.33,1.109,1.714,1.93,1.712
RAW-01628,Giloy Stems,2025-07-04T13:03:44,high,31.37,72.4,5.53,1191.4,3.68,18.6,177,140,128,1.626,1.288,1.803,2.352,2.047
RAW-01629,Dhania Seeds,2025-06-07T08:04:51,medium,28.26,75.4,5.66,948.2,0.79,22.3,128,94,208,0.962,0.712,1.245,1.392,1.342
RAW-01630,Tejpatta Leaves,2025-07-23T10:43:43,high,19.79,46.3,5.77,303.5,2.47,12.2,176,186,135,1.782,1.447,2.059,2.327,2.133
RAW-01631,Brahmi Leaves,2025-07-01T12:48:47,high,31.53,81.0,4.62,747.4,1.71,17.7,58,58,70,1.596,1.256,1.889,2.226,1.835
RAW-01632,Tejpatta Leaves,2025-08-03T15:09:51,high,22.17,60.8,4.79,1416.8,1.0,12.9,56,226,89,1.86,1.617,2.217,2.48,2.316
RAW-01633,Curry Leaves,2025-08-28T11:42:33,high,21.99,56.7,7.6,236.4,4.13,19.4,207,193,231,1.544,1.453,1.958,2.237,2.039
RAW-01634,Elaichi Seeds,2025-09-01T13:04:37,high,20.55,62.4,5.32,304.7,4.35,13.9,57,52,82,1.372,0.999,1.628,1.841,1.802
RAW-01635,Mulethi Root,2025-06-22T10:33:29,high,26.47,63.3,5.67,183.6,1.22,18.3,157,95,55,0.694,0.461,0.857,1.176,1.007
RAW-01636,Giloy Stems,2025-09-02T11:18:13,high,29.91,63.3,6.74,504.6,2.67,21.7,226,249,233,1.673,1.269,1.983,2.409,2.178
RAW-01637,Jeera Seeds,2025-09-04T14:31:56,high,19.26,64.9,8.19,1474.2,1.1,12.3,232,103,52,1.534,1.202,1.763,1.995,1.936
RAW-01638,Tulsi Leaves,2025-09-24T16:41:54,high,25.73,70.1,4.76,1231.5,4.18,23.3,149,200,241,1.246,0.848,1.457,2.204,1.823
RAW-01639,Arjuna Bark,2025-06-30T17:40:19,high,26.52,55.4,8.45,1112.0,3.05,12.6,243,197,246,2.118,1.851,2.339,2.828,2.595
RAW-01640,Curry Leaves,2025-09-02T09:43:59,high,27.02,69.4,6.05,90.8,4.52,24.8,50,224,229,1.649,1.392,2.046,2.444,2.157
RAW-01641,Shankhpushpi,2025-06-14T16:33:01,low,29.52,59.9,4.77,190.4,0.83,23.5,212,243,221,0.94,0.688,1.168,1.396,1.173
RAW-01642,Dalchini Bark,2025-06-05T09:30:26,high,21.8,64.9,6.25,736.9,3.12,13.5,141,233,227,1.384,1.062,1.474,1.852,1.728
RAW-01643,Hing Powder,2025-07-18T11:18:04,high,25.42,57.7,7.13,511.4,1.19,11.2,78,95,214,2.406,2.163,2.73,2.996,2.844
RAW-01644,Elaichi Seeds,2025-08-29T12:04:23,high,26.58,75.9,8.26,433.8,4.74,24.4,126,253,58,1.389,1.125,1.761,1.945,1.725
RAW-01645,Hing Powder,2025-06-09T12:44:26,high,26.47,61.6,6.16,313.5,3.96,20.5,79,164,115,2.433,2.185,2.704,3.066,2.761
RAW-01646,Ginger Root,2025-07-08T08:06:43,high,29.7,50.5,6.98,1416.5,0.38,10.9,204,68,79,1.362,1.049,1.676,1.981,1.907
RAW-01647,Arjuna Bark,2025-09-14T12:22:35,medium,18.18,82.6,7.95,1141.3,4.91,10.8,106,233,179,1.947,1.516,2.135,2.409,2.271
RAW-01648,Mulethi Root,2025-07-04T08:22:07,high,30.43,50.1,7.46,315.1,2.54,13.1,200,142,169,0.694,0.442,0.965,1.252,1.043
RAW-01649,Amla Fruit,2025-07-26T14:47:16,high,29.12,80.0,6.21,590.7,3.47,21.7,95,120,177,1.752,1.478,2.194,2.491,2.204
RAW-01650,Jeera Seeds,2025-06-26T08:20:48,high,28.41,68.7,8.09,999.8,0.18,24.5,101,82,202,1.379,1.181,1.753,2.011,1.722
RAW-01651,Methi Seeds,2025-07-23T15:12:14,high,31.74,55.4,7.28,1001.3,3.49,16.4,222,159,132,1.918,1.72,2.185,2.426,2.199
RAW-01652,Honey,2025-06-11T17:07:02,high,27.72,78.9,4.85,596.7,2.56,18.2,180,62,70,0.39,0.242,0.286,0.554,0.597
RAW-01653,Pudina Leaves,2025-06-20T11:17:24,medium,19.17,63.7,8.25,162.6,1.82,17.8,207,136,211,1.373,1.005,1.611,1.883,1.691
RAW-01654,Turmeric Powder,2025-08-31T08:47:26,high,29.14,80.5,7.85,752.5,0.51,15.6,209,156,251,1.654,1.461,1.972,2.26,2.072
RAW-01655,Giloy Stems,2025-09-21T17:11:37,low,23.76,81.4,5.11,297.9,2.63,24.0,251,194,54,1.119,1.015,1.458,1.709,1.539
RAW-01656,Ashwagandha Root,2025-09-25T10:43:11,medium,28.3,65.8,7.02,159.4,4.84,10.1,171,116,105,1.832,1.533,2.109,2.402,2.266
RAW-01657,Turmeric Powder,2025-07-26T14:12:58,medium,24.89,46.3,8.08,308.1,1.54,17.2,204,103,143,1.444,1.164,1.743,1.936,1.774
RAW-01658,Ginger Root,2025-06-23T14:16:14,high,25.19,73.5,6.95,817.7,1.26,19.3,68,172,182,1.443,1.133,1.722,1.95,1.834
RAW-01659,Arjuna Bark,2025-07-11T17:18:43,high,21.12,53.1,8.49,382.8,1.41,10.7,185,215,168,2.199,1.923,2.566,3.0,2.79
RAW-01660,Elaichi Seeds,2025-09-20T16:29:01,medium,29.83,84.3,8.16,455.7,1.64,18.0,207,198,138,0.971,0.762,1.225,1.485,1.367
RAW-01661,Ashwagandha Root,2025-09-18T16:02:08,high,23.11,50.4,8.2,1099.6,0.33,18.2,90,72,209,2.041,1.777,2.373,2.816,2.664
RAW-01662,Turmeric Powder,2025-08-14T14:07:42,medium,28.06,55.6,4.96,1282.0,3.49,16.1,205,181,59,1.402,1.142,1.57,1.928,1.851
RAW-01663,Turmeric Powder,2025-07-06T12:16:49,high,18.04,48.2,6.6,966.8,0.56,20.0,122,213,109,1.558,1.243,1.763,2.188,1.891
